Country,DARIA-TOPSIS pref,DARIA-TOPSIS rank
Austria,0.5144166592966798,11
Belgium,0.42049624395012136,12
Bulgaria,0.11082541195115739,26
Croatia,0.2357416790170284,19
Cyprus,0.21273330662770354,23
Czech Republic,0.27626364669870135,17
Denmark,0.9084006723124813,1
Estonia,0.5271339630903681,10
Finland,0.7861706352685268,3
France,0.5361904066005836,9
Germany,0.677815727354991,6
Greece,0.059645751832714436,27
Hungary,0.2580098655023495,18
Ireland,0.5817039579768972,8
Italy,0.17221027754960072,25
Latvia,0.23250160452989832,20
Lithuania,0.28845411085751615,15
Luxembourg,0.658666465064209,7
Malta,0.27961881547611683,16
Netherlands,0.703772289786094,5
Poland,0.22298055829018576,22
Portugal,0.23101776250483036,21
Romania,-0.056165857847399,28
Slovakia,0.19909771471743948,24
Slovenia,0.3330637036016814,14
Spain,0.35255206065454536,13
Sweden,0.8064760792581662,2
United Kingdom,0.775135296085189,4
