,TOPSIS 2018,TOPSIS 2019,TOPSIS 2020,DARIA-TOPSIS
Austria,12,12,11,11
Belgium,10,9,8,8
Bulgaria,26,28,28,28
Croatia,25,26,25,26
Cyprus,19,18,24,24
Czech Republic,15,15,15,15
Denmark,1,4,4,4
Estonia,9,11,13,13
Finland,5,3,5,5
France,13,10,10,10
Germany,7,7,6,6
Greece,28,27,26,25
Hungary,23,22,21,21
Ireland,8,8,9,9
Italy,21,20,18,18
Latvia,20,21,22,23
Lithuania,16,17,17,17
Luxembourg,2,6,7,7
Malta,11,13,14,14
Netherlands,6,2,1,1
Poland,24,23,19,19
Portugal,18,19,20,20
Romania,27,25,27,27
Slovakia,22,24,23,22
Slovenia,17,16,16,16
Spain,14,14,12,12
Sweden,3,1,3,3
United Kingdom,4,5,2,2
