Country,DARIA-TOPSIS pref,DARIA-TOPSIS rank
Austria,0.40284835347901937,13
Belgium,0.48133824406457504,11
Bulgaria,0.02199550388763706,28
Croatia,0.29621953199969364,18
Cyprus,0.04926146863686953,27
Czech Republic,0.30215665629401073,17
Denmark,0.7399841486859517,3
Estonia,0.5100612476449091,10
Finland,0.8045159218585953,1
France,0.5632609691820044,9
Germany,0.6290773313631207,5
Greece,0.11541066851404139,26
Hungary,0.23701233022609375,21
Ireland,0.5838557242665096,6
Italy,0.1989607744454569,23
Latvia,0.21112821635563778,22
Lithuania,0.27048319989986436,20
Luxembourg,0.5739902678198022,7
Malta,0.35754496977890254,14
Netherlands,0.563777134865157,8
Poland,0.2745474572820937,19
Portugal,0.3133981103588604,15
Romania,0.13282070040412233,25
Slovakia,0.16875760721645042,24
Slovenia,0.3051935581092481,16
Spain,0.4640140330047573,12
Sweden,0.7775994479868457,2
United Kingdom,0.7351152553397656,4
