Ai,TOPSIS,TOPSIS dir
Austria,0.0002184565263085858,1.0
Belgium,0.003706277477210862,-1.0
Bulgaria,0.019539105411147895,1.0
Croatia,0.007548198827556418,1.0
Cyprus,0.00502525258246167,-1.0
Czech Republic,0.009165788110860773,-1.0
Denmark,0.0006511613201579669,1.0
Estonia,0.004678993268621201,1.0
Finland,0.002323278447921018,1.0
France,0.00281888638793637,1.0
Germany,0.0002309925303146665,-1.0
Greece,0.013510142505771428,-1.0
Hungary,0.015261310981393494,1.0
Ireland,0.00014045707357546178,-1.0
Italy,0.003932431742263209,-1.0
Latvia,0.0019428437716282332,1.0
Lithuania,0.0025598279575481664,-1.0
Luxembourg,0.001188623097495567,-1.0
Malta,0.015841123567498117,-1.0
Netherlands,0.0004865641299806045,-1.0
Poland,0.0015069286912315905,-1.0
Portugal,0.003216626252994903,-1.0
Romania,0.11349218673972872,-1.0
Slovakia,0.0006712941484665613,1.0
Slovenia,0.002938188448314949,1.0
Spain,0.00134667507770303,1.0
Sweden,0.0006286615366919435,1.0
United Kingdom,0.0003933087101052335,1.0
